y	x	group
0	0	-1
0.0099	0.01	-1
0.0196	0.02	-1
0.0291	0.03	-1
0.0384	0.04	-1
0.0475	0.05	-1
0.0564	0.06	-1
0.0651	0.07	-1
0.0736	0.08	-1
0.0819	0.09	-1
0.09	0.1	-1
0.0979	0.11	-1
0.1056	0.12	-1
0.1131	0.13	-1
0.1204	0.14	-1
0.1275	0.15	-1
0.1344	0.16	-1
0.1411	0.17	-1
0.1476	0.18	-1
0.1539	0.19	-1
0.16	0.2	-1
0.1659	0.21	-1
0.1716	0.22	-1
0.1771	0.23	-1
0.1824	0.24	-1
0.1875	0.25	-1
0.1924	0.26	-1
0.1971	0.27	-1
0.2016	0.28	-1
0.2059	0.29	-1
0.21	0.3	-1
0.2139	0.31	-1
0.2176	0.32	-1
0.2211	0.33	-1
0.2244	0.34	-1
0.2275	0.35	-1
0.2304	0.36	-1
0.2331	0.37	-1
0.2356	0.38	-1
0.2379	0.39	-1
0.24	0.4	-1
0.2419	0.41	-1
0.2436	0.42	-1
0.2451	0.43	-1
0.2464	0.44	-1
0.2475	0.45	-1
0.2484	0.46	-1
0.2491	0.47	-1
0.2496	0.48	-1
0.2499	0.49	-1
0.25	0.5	-1
0.2499	0.51	-1
0.2496	0.52	-1
0.2491	0.53	-1
0.2484	0.54	-1
0.2475	0.55	-1
0.2464	0.56	-1
0.2451	0.57	-1
0.2436	0.58	-1
0.2419	0.59	-1
0.24	0.6	-1
0.2379	0.61	-1
0.2356	0.62	-1
0.2331	0.63	-1
0.2304	0.64	-1
0.2275	0.65	-1
0.2244	0.66	-1
0.2211	0.67	-1
0.2176	0.68	-1
0.2139	0.69	-1
0.21	0.7	-1
0.2059	0.71	-1
0.2016	0.72	-1
0.1971	0.73	-1
0.1924	0.74	-1
0.1875	0.75	-1
0.1824	0.76	-1
0.1771	0.77	-1
0.1716	0.78	-1
0.1659	0.79	-1
0.16	0.8	-1
0.1539	0.81	-1
0.1476	0.82	-1
0.1411	0.83	-1
0.1344	0.84	-1
0.1275	0.85	-1
0.1204	0.86	-1
0.1131	0.87	-1
0.1056	0.88	-1
0.0979	0.89	-1
0.09	0.9	-1
0.0819	0.91	-1
0.0736	0.92	-1
0.0650999999999999	0.93	-1
0.0563999999999999	0.94	-1
0.0475	0.95	-1
0.0384	0.96	-1
0.0291	0.97	-1
0.0196000000000001	0.98	-1
0.00990000000000002	0.99	-1
0	1	-1
